"topic","page","modul","replace"
"stu","stu_06","conventional","replace modul="conventional" if page=="stu_06""
"stu","stu_07","conventional","replace modul="conventional" if page=="stu_07""
"stu","stu_08","conventional","replace modul="conventional" if page=="stu_08""
"stu","stu_09","conventional","replace modul="conventional" if page=="stu_09""
"stu","stu_10","conventional","replace modul="conventional" if page=="stu_10""
"stu","stu_11","conventional","replace modul="conventional" if page=="stu_11""
"stu","stu_12","conventional","replace modul="conventional" if page=="stu_12""
"mas","mas_01","conventional","replace modul="conventional" if page=="mas_01""
"stu","stu_13","conventional","replace modul="conventional" if page=="stu_13""
"stu","stu_14","conventional","replace modul="conventional" if page=="stu_14""
"stu","stu_14a","conventional","replace modul="conventional" if page=="stu_14a""
"stu","stu_15","conventional","replace modul="conventional" if page=="stu_15""
"stu","stu_16","conventional","replace modul="conventional" if page=="stu_16""
"stu","stu_17","conventional","replace modul="conventional" if page=="stu_17""
"stu","stu_18","conventional","replace modul="conventional" if page=="stu_18""
"stu","stu_19","conventional","replace modul="conventional" if page=="stu_19""
"suv","suv_00","conventional","replace modul="conventional" if page=="suv_00""
"suv","suv_01","conventional","replace modul="conventional" if page=="suv_01""
"suv","suv_02","conventional","replace modul="conventional" if page=="suv_02""
"suv","suv_03","conventional","replace modul="conventional" if page=="suv_03""
"suv","suv_04","conventional","replace modul="conventional" if page=="suv_04""
"emp","emp_01","conventional","replace modul="conventional" if page=="emp_01""
"emp","emp_02","conventional","replace modul="conventional" if page=="emp_02""
"emp","emp_03","conventional","replace modul="conventional" if page=="emp_03""
"emp","emp_04","conventional","replace modul="conventional" if page=="emp_04""
"emp","emp_09","conventional","replace modul="conventional" if page=="emp_09""
"gsh","gsh_00","conventional","replace modul="conventional" if page=="gsh_00""
"gsh","gsh_01","conventional","replace modul="conventional" if page=="gsh_01""
"gsh","gsh_02","conventional","replace modul="conventional" if page=="gsh_02""
"gsh","gsh_03","conventional","replace modul="conventional" if page=="gsh_03""
"gsh","gsh_04","conventional","replace modul="conventional" if page=="gsh_04""
"gsh","gsh_05","conventional","replace modul="conventional" if page=="gsh_05""
"skpp","skpp_00","conventional","replace modul="conventional" if page=="skpp_00""
"skpp","skpp_01","conventional","replace modul="conventional" if page=="skpp_01""
"skpp","skpp_02","conventional","replace modul="conventional" if page=="skpp_02""
"skpp","skpp_03","conventional","replace modul="conventional" if page=="skpp_03""
"skpp","skpp_04","conventional","replace modul="conventional" if page=="skpp_04""
"skpp","skpp_05","conventional","replace modul="conventional" if page=="skpp_05""
"dem","dem_00","conventional","replace modul="conventional" if page=="dem_00""
"dem","dem_07","conventional","replace modul="conventional" if page=="dem_07""
"dem","dem_10","conventional","replace modul="conventional" if page=="dem_10""
"dem","dem_13","conventional","replace modul="conventional" if page=="dem_13""
"dem","dem_15","conventional","replace modul="conventional" if page=="dem_15""
"dem","dem_17","conventional","replace modul="conventional" if page=="dem_17""
"dem","dem_18","conventional","replace modul="conventional" if page=="dem_18""
"dem","dem_19","conventional","replace modul="conventional" if page=="dem_19""
"dem","dem_20","conventional","replace modul="conventional" if page=="dem_20""
"dem","dem_36","conventional","replace modul="conventional" if page=="dem_36""
"dem","dem_37","conventional","replace modul="conventional" if page=="dem_37""
"dem","dem_39","conventional","replace modul="conventional" if page=="dem_39""
"end","end_0","conventional","replace modul="conventional" if page=="end_0""
"end","end","conventional","replace modul="conventional" if page=="end""
"empa","empa040","episodes","replace modul="episodes" if page=="empa040""
