"topic","page","modul","replace modul="modul" if page=="page"","recode"
"st","stdb19","episodes","replace modul="episodes" if page=="stdb19""
"st","stdb21","episodes","replace modul="episodes" if page=="stdb21""
"st","stdb23","episodes","replace modul="episodes" if page=="stdb23""
"st","stdb24","episodes","replace modul="episodes" if page=="stdb24""
"st","stdb29","episodes","replace modul="episodes" if page=="stdb29""
"st","stdb33","episodes","replace modul="episodes" if page=="stdb33""
"st","stdb31","episodes","replace modul="episodes" if page=="stdb31""
"st","stdb25","episodes","replace modul="episodes" if page=="stdb25""
"st","stdb34","episodes","replace modul="episodes" if page=="stdb34""
"st","stda42","episodes","replace modul="episodes" if page=="stda42""
"st","stda43","episodes","replace modul="episodes" if page=="stda43""
"st","stda47","episodes","replace modul="episodes" if page=="stda47""
"st","stea01","episodes","replace modul="episodes" if page=="stea01""
"st","stea04","episodes","replace modul="episodes" if page=="stea04""
"st","stea07","episodes","replace modul="episodes" if page=="stea07""
"st","stea09","episodes","replace modul="episodes" if page=="stea09""
"st","stea10","episodes","replace modul="episodes" if page=="stea10""
"st","stea16","episodes","replace modul="episodes" if page=="stea16""
"st","stea17","episodes","replace modul="episodes" if page=="stea17""
"st","stea18","episodes","replace modul="episodes" if page=="stea18""
"st","stea19","episodes","replace modul="episodes" if page=="stea19""
"st","stea21","episodes","replace modul="episodes" if page=="stea21""
"st","stea23","episodes","replace modul="episodes" if page=="stea23""
"st","stea24","episodes","replace modul="episodes" if page=="stea24""
"st","stea29","episodes","replace modul="episodes" if page=="stea29""
"st","stea33","episodes","replace modul="episodes" if page=="stea33""
"st","stea31","episodes","replace modul="episodes" if page=="stea31""
"st","stea25","episodes","replace modul="episodes" if page=="stea25""
"st","stea34","episodes","replace modul="episodes" if page=="stea34""
"st","stea42","episodes","replace modul="episodes" if page=="stea42""
"st","stea43","episodes","replace modul="episodes" if page=="stea43""
"st","stea47","episodes","replace modul="episodes" if page=="stea47""
"st","st0002","episodes","replace modul="episodes" if page=="st0002""
"st","st0005","episodes","replace modul="episodes" if page=="st0005""
"st","st0008","episodes","replace modul="episodes" if page=="st0008""
"st","st0010","episodes","replace modul="episodes" if page=="st0010""
"st","st0011","episodes","replace modul="episodes" if page=="st0011""
"st","st0017","episodes","replace modul="episodes" if page=="st0017""
"st","st0018","episodes","replace modul="episodes" if page=="st0018""
"st","st0019","episodes","replace modul="episodes" if page=="st0019""
"st","st0020","episodes","replace modul="episodes" if page=="st0020""
"st","st0022","episodes","replace modul="episodes" if page=="st0022""
"st","st0024","episodes","replace modul="episodes" if page=="st0024""
"st","st0025","episodes","replace modul="episodes" if page=="st0025""
"st","st0030","episodes","replace modul="episodes" if page=="st0030""
"st","st0032","episodes","replace modul="episodes" if page=="st0032""
"st","st0026","episodes","replace modul="episodes" if page=="st0026""
"zwischen","zwischen_st","zwischen","replace modul="zwischen" if page=="zwischen_st""
"v","v0001","episodes","replace modul="episodes" if page=="v0001""
"v","vaa01","episodes","replace modul="episodes" if page=="vaa01""
"v","vaa05","episodes","replace modul="episodes" if page=="vaa05""
"v","vaa06","episodes","replace modul="episodes" if page=="vaa06""
"v","vaa07","episodes","replace modul="episodes" if page=="vaa07""
